child,itemId,Lemma,Singular description,Singular Code,Plural Description,Plural Code,Comments,
pl55,p1,book,book,5,,,,
pl55,p2,chair,(ch)air,5,,,,
pl55,p3,coat,coat,5,,,,
pl55,p4,dog,dog,5,,,,
pl55,1,pog,a (p)og,5,pogs,8,,
pl55,2,rabbit,rab(v)uh,5,rabvuh ,5,,
pl55,3,nug,nug on house,5,nugs on the hill,8,,
pl55,4,star,star,5,two stars on the couch,8,,
pl55,5,tep,tep on the house,5,tep in the house,5,,
pl55,6,fip,fip,5,two fips on the couch,8,,
pl55,7,pig,pig on the tree,5,pigs on the tree,8,,
pl55,8,truck,truck,5,truck on (couch),5,,
pl55,9,gub,gu(b),5,gubs in the house,8,,
pl55,10,fork,fork,5,two forks on a hill,8,,
pl55,11,cup,cup,5,cup on the house,5,,
pl55,12,gop,gop,5,two gops on the tree,8,,
pl55,13,tig,tig,5,tigs on the hill,8,,
pl55,14,cow,cow,5,cow,5,,
pl55,15,nep,nep,5,neps in the tree,8,,
pl55,16,cat,cat,5,cats in the house,8,,
pl21,p1,book,book,5,,,,
pl21,p2,chair,chair,5,,,,
pl21,p3,coat,coat,5,,,,
pl21,p4,dog,dog,5,,,,
pl21,1,pog,pog,5,a pog,5,,
pl21,2,rabbit,a bunny,5,a bunny,5,,
pl21,3,nug,no,3,a nug,5,,
pl21,4,star,star,5,star,5,,
pl21,5,tep,tep,5,a tep,5,,
pl21,6,fip,fip,5,a fip,5,,
pl21,7,pig,pig,5,a pig,5,,
pl21,8,truck,truck,5,a truck,5,,
pl21,9,gub,gub,5,a gub,5,,
pl21,10,fork,fork,5,a fork,5,,
pl21,11,cup,cup,5,a cup,5,I'm thirsty,
pl21,12,gop,gup,5,a gupf,5,,
pl21,13,tig,a tig,5,a tig,5,,
pl21,14,cow,cow,5,a cow,5,,
pl21,15,nep,nep,5,a nep,5,,
pl21,16,cat,cat,5,a cat,5,,
pl79,p1,book,in a barn.... barn,4,,,,
pl79,p2,chair,a chair,5,,,,
pl79,p3,coat,a coat,5,,,,
pl79,p4,dog,dog,5,,,,
pl79,1,pog,pog,5,another pog... um pog pog,5,,
pl79,2,rabbit,rabbit,5,another rabbit,6,,
pl79,3,nug,nug,5,a nug,5,,
pl79,4,star,a star,5,and now there are two stars! two stars! a star,8,,
pl79,5,tep,tep,5,another tap;  a tap,5,,
pl79,6,fip,fip,5,fip fip,5,little bit of a meltdown here,
pl79,7,pig,pig,5,a pig.. I wanna see a ,5,,
pl79,8,truck,no it's a dump truck,5,two dump trucks,8,,
pl79,9,gub,a gub,5,a gub,5,,
pl79,10,fork,fork,5,foo foo foo,3,,
pl79,11,cup,milk.... pup,3,a milk.... there milk on the couch,3,,
pl79,12,gop,I want to play with truck... hmm dump trucks,3,I want to play dump trucks,3,,
pl79,13,tig,<silence>,1,a tuck a daf,3,another meltdown,
pl79,14,cow,cow in a barn,5,cow,5,,
pl79,15,nep,nep,5,a nep.. nep... nep,5,,
pl79,16,cat,kitty cat.... kak,5,cat cat cat,5,,
pl81,p1,book,buk,5,,,,
pl81,p2,chair,chai,5,,,,
pl81,p3,coat,coat,5,,,,
pl81,p4,dog,doggy woof,5,,,,
pl81,1,bug,bug,5,bug,5,,
pl81,2,mip,mip,5,house,5,,
pl81,3,deg,egh,5,tee <inaudible>,2,,
pl81,4,frog,okay... okay,3,okay,3,,
pl81,5,nop,<silence>,1,couch...couch,4,,
pl81,6,boat,boat,5,<silence>,1,,
pl81,7,kib,kib,5,house,4,,
pl81,8,teb,teb,5,couch teb couch,5,,
pl81,9,plate,plate,5,hill,4,,
pl81,10,ant,ant in the tree,5,tree,4,,
pl81,11,pib,couch,4,couch,4,,
pl81,12,dup,du,5,<silence>,1,,
pl81,13,duck,quack quack,3,duck house,5,,
pl81,14,spoon,hi(ll),4,<silence>,1,,
pl81,15,gip,<silence>,1,<silence>,1,,
pl81,16,egg,egg couch,5,<silence>,1,,
pl82,p1,book,book,,,,,
pl82,p2,chair,the chair,,,,,
pl82,p3,coat,coat in a tee; coats in a tree,,,,,
pl82,p4,dog,look a dog; a dog,,,,,
pl82,1,bug,look the bug,5,the bugs,8,parent repeats the plural,
pl82,2,mip,mip,5,mips,8,,
pl82,3,deg,degs,8,deg,5,,
pl82,4,frog,frog,5,a frog could I hold it,5,,
pl82,5,nop,a nop,5,nops two nops,8,parent repeats the plural,
pl82,6,boat,boat,5,a boat,5,,
pl82,7,kib,kib,5,kib kib,5,,
pl82,8,teb,look a teb,5,tebs,8,,
pl82,9,plate,pate,5,pates,8,parent repeats the child's response,
pl82,10,ant,ant,5,a ant,5,,
pl82,11,pib,"a pib, what did the pib say",5,pibs,8,parent repeats the child's response,
pl82,12,dup,dub I say dup a dub,5,I say that,3,,
pl82,13,duck,duck gack gack,5,ducks,8,,
pl82,14,spoon,phoon,5,phooz two phooz,8,,
pl82,15,gip,a gip,5,a gip,5,,
pl82,16,egg,egg a egg,5,a egg a egg mummy,5,,
pl83,p1,book,book,5,,,,
pl83,p2,chair,chair,5,,,,
pl83,p3,coat,coat,5, ,,,
pl83,p4,dog,doggy,5,,,,
pl83,1,pog,pog,5,pogs,8,,
pl83,2,rabbit,riddit,5,bunnies,8,,
pl83,3,nug,nug,5,nug,5,,
pl83,4,star,star,5,tar,5,,
pl83,5,tep,tep,5,a weird flower,3,,
pl83,6,fip,fip,5,fip,5,,
pl83,7,pig,p(i/e)/g,5,p(i/e)/g,5,,
pl83,8,truck,truck,5,truck,5,,
pl83,9,gub,gub,5,gub,5,,
pl83,10,fork,fork,5,forks,8,,
pl83,11,cup,milk... cup of milk,5,cup of milk,5,,
pl83,12,gop,gop,5,gop,5,,
pl83,13,tig,tig,5,tig,5,,
pl83,14,cow,cow,5,cow,5,,
pl83,15,nep,<silence>,2,nep,5,,
pl83,16,cat,bunny,3,cat,5,,
pl84,p1,book,<missing>,0,,,,
pl84,p2,chair,chai,5,,,,
pl84,p3,coat,tot,5,,,,
pl84,p4,dog,dod,5,,,,
pl84,1,bug,bu(g/d),5,<silence>,1,,
pl84,2,mip,mip,5,mip,5,,
pl84,3,deg,det,5,det,5,,
pl84,4,frog,fraw,5,fraw,5,,
pl84,5,nop,not,5,<silence>,1,,
pl84,6,boat,boat,5,boat,5,,
pl84,7,kib,tib,3,tib in house,5,,
pl84,8,teb,teb,5,<silence>,1,,
pl84,9,plate,<silence>,1,<silence>,1,,
pl84,10,ant,ant,5,<silence> no,1,,
pl84,11,pib,no ,3,no,3,,
pl84,12,dup,dot,5,<silence>,1,,
pl84,13,duck,duck,5,<silence>,1,,
pl84,14,spoon,poon,5,<silence>,1,,
pl84,15,gip,<silence>,1,<silence>,1,,
pl84,16,egg,egg,5,an egj,5,,
pl85,p1,book,boo,5,,,,
pl85,p2,chair,chai,5,,,,
pl85,p3,coat,cot,5,,,,
pl85,p4,dog,daw,5,,,,
pl85,,pog,pog,5,<silence>,1,,
pl85,,rabbit,rabbit,5,two rabbit,6,,
pl85,,nug,<silence>,1,<silence>,1,little bit of a meltdown,
pl85,,star,tar,5,"ska, two... three",6,parent asks how many,
pl85,,tep,tep,5,two tep,6,,
pl85,,fip,fi[p],5,fip two five,5,,
pl85,,pig,pi[g],5,pi[g],5,,
pl85,,truck,ku,5,ku,5,,
pl85,,gub,gub,5,gub,5,,
pl85,,fork,for,5,for,5,,
pl85,,cup,bottle,3,cup,5,,
pl85,,gop,bop,5,gop,5,,
pl85,,tig,tih,5,<too loud>,0,,
pl85,,cow,cow,5,cow,5,,
pl85,,nep,ne[p],5,ne[p],5,,
pl85,,cat,tat,5,tat,5,,
pl86,p1,book,book,5,,,,
pl86,p2,chair,chayuh,5,,,,
pl86,p3,coat,cot,5,,,,
pl86,p4,dog,dogh,5,,,,
pl86,1,bug,bugh,5,bug,5,,
pl86,2,mip,mip,5,mips,8,,
pl86,3,deg,deg,5,deg,5,,
pl86,4,frog,fwahg,5,fwahg,5,,
pl86,5,nop,nop,5,nop mop,5,,
pl86,6,boat,boat,5,boat,5,,
pl86,7,kib,kib,5,kib,5,,
pl86,8,teb,teb,5,teb,5,,
pl86,9,plate,pwate,5,pwate,5,,
pl86,10,ant,ant,5,ant,5,,
pl86,11,pib,pib,5,pib,5,,
pl86,12,dup,dup,5,dup,5,,
pl86,13,duck,duck,5,duck,5,,
pl86,14,spoon,poon,5,poon,5,,
pl86,15,gip,gip,5,gip,5,,
pl86,16,egg,egg,5,egg,5,,
pl88,p1,book,book,5,,,,
pl88,p2,chair,chaia,5,,,,
pl88,p3,coat,cot,5,,,,
pl88,p4,dog,gog,5,,,,
pl88,1,pog,pok,5,"a there, a kok",5,,
pl88,2,rabbit,a rabbit rabbit,5,a rabbitstree,8,,
pl88,3,nug,nug,5,nug,5,,
pl88,4,star,star,5,one stars,8,,
pl88,5,tep,a tep,5,tep,5,,
pl88,6,fip,fip,5,a fip,5,,
pl88,7,pig,pig,5,a pig,5,,
pl88,8,truck,truck,5,truck,5,,
pl88,9,gub,gub,5,"gub, gups",8,,
pl88,10,fork,a fork,5,a fork,5,,
pl88,11,cup,cup,5,cup a cup,5,,
pl88,12,gop,gop,5,gop,5,,
pl88,13,tig,tig,5,tig,5,,
pl88,14,cow,"a cow, cow",5,cow,5,,
pl88,15,nep,nep,5,nep,5,,
pl88,16,cat,cat,5,cat,5,,
pl89,p1,book,book,5,,,whispers it,
pl89,p2,chair,chair,5,,,whispers it,
pl89,p3,coat,this,3,,,,
pl89,p4,dog,gog,5,,,,
pl89,1,bug,bugh,5,bug,5,,
pl89,2,mip,pip,5,pip... house,5,,
pl89,3,deg,deg,5,guk two gops,3,,
pl89,4,frog,fwahg,5,two fwaghs,5,,
pl89,5,nop,gop,5,gup,5,,
pl89,6,boat,boat boat pretty boat,5,boats,5,,
pl89,7,kib,kib,5,kib,5,,
pl89,8,teb,teeb,5,ten I want here,5,,
pl89,9,plate,pwate,5,<incomprehensible> pwate,5,,
pl89,10,ant,ant,5,<sighs>,1,,
pl89,11,pib,tip,5,tib,5,,
pl89,12,dup,tip,5,<shooting noises>,2,,
pl89,13,duck,guk,5,kuck,5,,
pl89,14,spoon,<shooting noises>,2,<shooting noises; whispers phoon>,5,,
pl89,15,gip,gip,5,<skips ahead>,0,,
pl89,16,egg,egg,5,egg couch,5,,
pl90,p1,book,<missing>,0,,,,
pl90,p2,chair,<missing>,0,,,,
pl90,p3,coat,<missing>,0,,,,
pl90,p4,dog,<missing>,0,,,,
pl90,1,bug,<child yells>,2,more house,3,parent refers to plural bugs when trying to elicit a response,
pl90,2,mip,no,3,mip,5,,
pl90,3,deg,tee,3,more,6,,
pl90,4,frog,fwahg,5,fwahg,5,parent corrects the child with the plural,
pl90,5,nop,poof poof poof,3,<asks to hold it>,3,,
pl90,6,boat,boat,5,a more boat,6,,
pl90,7,kib,no,3,more,6,,
pl90,8,teb,<silence>,1,more,6,,
pl90,9,plate,pate,5,fu da,3,,
pl90,10,ant,an ant in my house,5,ant,5,,
pl90,11,pib,no,3,no,3,,
pl90,12,dup,no,3,no,3,,
pl90,13,duck,a duck at my house,5,more ducky,6,really good example of child-directed speech,
pl90,14,spoon,spok,3,spo,5,,
pl90,15,gip,no,3,<silence>,0,,
pl90,16,egg,"ball,egg",5,<silence>,0,attempts to eat egg off ipad,
pl91,p1,book,no... house,3,,,,
pl91,p2,chair,chaiw,5,,,repeating parent,
pl91,p3,coat,a cot,5,,,repeating parent,
pl91,p4,dog,a dog,5,,,repeating parent,
pl91,1,pog,pog,5,what in a tree,4,repeating parent,
pl91,2,rabbit,wabbit... hops,5,what's in a tree... pops,4,,
pl91,3,nug,nug,5,what's on the hill,4,"repeating parent, then announces ""i farted""",
pl91,4,star,star... it's a big star,5,star,5,,
pl91,5,tep,tep,5,tep,5,,
pl91,6,fip,fip,5,tep,3,,
pl91,7,pig,pig,5,what's in a tree...pig,5,,
pl91,8,truck,tuck,5,truck,5,,
pl91,9,gub,gub,5,<incomprehensible>,2,,
pl91,10,fork,"fork on the hill, roll roll",5,a fork,5,,
pl91,11,cup,cup,5,the tablet. this is a tablet,3,,
pl91,12,gop,gop,5,gub,5,,
pl91,13,tig,tig oops we pressed a button,5,teb,3,,
pl91,14,cow,"cow, mooo",5,a cow,5,,
pl91,15,nep,nep,5,nap,5,,
pl91,16,cat,cat,5,the cat,5,,
pl93,p1,book,book,5,,,,
pl93,p2,chair,chewh,5,,,,
pl93,p3,coat,tot,5,,,,
pl93,p4,dog,ya <woofs>,3,,,,
pl93,1,pog,<chortles>,2,<screams>,3,,
pl93,2,rabbit,<screams>,2,a rabbits,8,,
pl93,3,nug,nug,5,nug,5,"parent provides feedback ""there are two nugs""",
pl93,4,star,stahs,8,stars,8,"parent says ""there are two stars""",
pl93,5,tep,<high pitched> tep tep tep,5,tep,5,"parent says ""that's too teps""",
pl93,6,fip,fip,5,<silence>,1,that is two fips,
pl93,7,pig,a ig,5,a pig,5,,
pl93,8,truck,<beeping noise>,3,<one syllable>,2,"parent says ""two trucks""",
pl93,9,gub,gub,5,gub,5,"parent says ""two gubs""",
pl93,10,fork,vok,5,fork,5,"parent says ""two forks""",
pl93,11,cup,dup,5,"<clicks, screams>",2,,
pl93,12,gop,gop,5,gop,5,,
pl93,13,tig,<silence>,1,<silence>,1,,
pl93,14,cow,moo,3,<silence>,1,,
pl93,15,nep,nep,5,nep,5,child finds video game controller and gets totally distracted,
pl93,16,cat,<scream meows>,3,cats,8,,
pl94,p1,book,book,5,,,,
pl94,p2,chair,chaya ya,5,,,,
pl94,p3,coat,cot,5,,,,
pl94,p4,dog,"doggy, gok",5,,,,
pl94,1,bug,buk ,5,buk,5,,
pl94,2,mip,m(schwa)p,5,<other material>,2,,
pl94,3,deg,<other material>,2,a froggy,0,skiped ahead,
pl94,4,frog,frog,5,frog,5,,
pl94,5,nop,nop,5,mok,3,,
pl94,6,boat,boat,5,<silence>,1,,
pl94,7,kib,<silence>,1,<silence>,1,,
pl94,8,teb,<silence>,1,<silence>,1,,
pl94,9,plate,<silence>,1,<silence>,1,,
pl94,10,ant,<silence>,1,<silence>,1,,
pl94,11,pib,pib,5,<silence>,1,,
pl94,12,dup,<silence>,1,<silence>,1,,
pl94,13,duck,buk ,5,<silence>,1,,
pl94,14,spoon,poon,5,<silence>,1,,
pl94,15,gip,gip,5,hmm,3,,
pl94,16,egg,egg,5,egg,5,,
pl95,p1,book,book,5,,,,
pl95,p2,chair,chaia,5,,,,
pl95,p3,coat,cot,5,,,,
pl95,p4,dog,dog,5,,,,
pl95,1,pog,pog(schwa),5,pog,5,,
pl95,2,rabbit,rabbit,5,bunny,5,,
pl95,3,nug,nug,5,nugh,5,,
pl95,4,star,star,5,star,5,,
pl95,5,tep,t(shwa)p,5,t(shwa)p,5,,
pl95,6,fip,fip,5,fip,5,,
pl95,7,pig,p(schwa)g,5,p(schwa)g,5,,
pl95,8,truck,t(shwa)k,5,t(shwa)k,5,,
pl95,9,gub,gub,5,dug gub,5,,
pl95,10,fork,fork,5,fork,5,,
pl95,11,cup,nug nuk tup nuk,5,<silence>,1,,
pl95,12,gop,dup,3,<silence>,1,,
pl95,13,tig,tig,5,<silence>,1,,
pl95,14,cow,cow,5,cow,5,,
pl95,15,nep,nep,5,nope,5,,
pl95,16,cat,tat,5,hat,5,,
pl96,p1,book,book,5,,,,
pl96,p2,chair,tschai,5,,,,
pl96,p3,coat,coat,5,,,,
pl96,p4,dog,a puppy dog,5,,,,
pl96,1,bug,a buggy,5,two buggies,8,,
pl96,2,mip,mip,5,two mips,8,parent repeats it back,
pl96,3,deg,deg,5,two degs,8,,
pl96,4,frog,frog,5,two froggies,8,,
pl96,5,nop,nop,5,two nops,8,,
pl96,6,boat,boat,5,two boats,8,,
pl96,7,kib,kib,5,two kibs,8,,
pl96,8,teb,teb,5,two tebs,8,,
pl96,9,plate,plate,5,two plates,8,,
pl96,10,ant,ant,5,two ants,8,,
pl96,11,pib,pib,5,two pibs,8,,
pl96,12,dup,dup,5,two dups,8,,
pl96,13,duck,duck,5,two ducks,8,,
pl96,14,spoon,poon,5,two poons,8,,
pl96,15,gip,gip,5,two... two gips,8,,
pl96,16,egg,egg,5,two,6,,
pl97,p1,book,book,5,,,,
pl97,p2,chair,chaia,5,,,,
pl97,p3,coat,coat,5,,,,
pl97,p4,dog,tog,5,,,,
pl97,1,pog,pog,5,pog,5,"parent says ""two pogs""",
pl97,2,rabbit,rabbit,5,rabbit,5,,
pl97,3,nug,nug,5,nug,5,,
pl97,4,star,star,5,stars it look like,8,,
pl97,5,tep,tep,5,tep,5,,
pl97,6,fip,fip,5,fip on the couch,5,,
pl97,7,pig,p(h)ig,5,pig two three,6,,
pl97,8,truck,truck ,5,two trucks in a tree,8,,
pl97,9,gub,gub,5,gub,5,,
pl97,10,fork,fork,5,spoons fork,8,,
pl97,11,cup,cup,5,cup,5,,
pl97,12,gop,gop,5,gop,5,,
pl97,13,tig,tig,5,tig,5,,
pl97,14,cow,cow,5,cows,8,,
pl97,15,nep,nep,5,nep,5,,
pl97,16,cat,cat,5,cat,5,,
pl98,p1,book,<silence>,1,,,,
pl98,p2,chair,<silence>,1,,,,
pl98,p3,coat,<silence>,1,,,,
pl98,p4,dog,dog,5,,,,
pl98,1,bug,<incomprehensible>,2,<incomprehensible>,2,,
pl98,2,mip,mip,5,a mip,5,,
pl98,3,deg,deg,5,"bush, ice cream",3,,
pl98,4,frog,frog,5,a frog,5,,
pl98,5,nop,nop,5,<silence>,1,"parent says ""that's okay""",
pl98,6,boat,boat,5,a boat,5,,
pl98,7,kib,kib,5,a kib,5,,
pl98,8,teb,teb(uh),5,teb(uh),5,,
pl98,9,plate,plate,5,twate,5,,
pl98,10,ant,ant,5,<silence>,1,"parent says ""that's okay""",
pl98,11,pib,pib(uh),5,a pib(uh),5,,
pl98,12,dup,dup,5,dup,5,,
pl98,13,duck,duck,5,"a gup, duck",5,,
pl98,14,spoon,spoon,5,spoon(uh),5,,
pl98,15,gip,gip,5,gip,5,,
pl98,16,egg,egg,5,a egg,5,,
pl99,p1,book,book,5,,,,
pl99,p2,chair,chair,5,,child says chair unprompted,,
pl99,p3,coat,coat,5,,,,
pl99,p4,dog,dog,5,,,,
pl99,1,pog,pog,5,pog,5,long vowel,
pl99,2,rabbit,bunny rabbit,5,bunny,5,,
pl99,3,nug,neg,5,neg,5,,
pl99,4,star,stahhhh,5,stag,5,,
pl99,5,tep,tep,5,dunno tep,5,,
pl99,6,fip,fip,5,<unintelligible> fip,5,,
pl99,7,pig,pig,5,pig,5,,
pl99,8,truck,truck ,5,truck,5,,
pl99,9,gub,gub,5,gub,5,,
pl99,10,fork,fork,5,truck fork,5,,
pl99,11,cup,sammy cup,5,baby cup,5,,
pl99,12,gop,gop,5,dunno,3,,
pl99,13,tig,tig,5,dunno tig,5,,
pl99,14,cow,nope cowww,5,"doggy, doggy",5,,
pl99,15,nep,nep,5,nep,5,,
pl99,16,cat,cat,5,dunno cat,5,,
pl100,p1,book,[]ook,5,,,,
pl100,p2,chair,chaiw,5,,,,
pl100,p3,coat,cok,5,,,,
pl100,p4,dog,tah,5,,,,
pl100,1,bug,guh,3,guh,3,,
pl100,2,mip,mip,5,mip,5,,
pl100,3,deg,deg,5,deh,5,,
pl100,4,frog,fwah,5,fwah,5,,
pl100,5,nop,nnnn,2,<silence>,1,,
pl100,6,boat,bop,5,two bop,6,,
pl100,7,kib,tub,2,<silence>,1,<silence>,
pl100,8,teb,tuh,2,<silence>,1,,
pl100,9,plate,pate,5,pip,3,,
pl100,10,ant,dee vif,2,vif,3,,
pl100,11,pib,pum,2,<silence>,1,,
pl100,12,dup,dup,5,dup,5,,
pl100,13,duck,duck,5,<silence>,1,,
pl100,14,spoon,poon,5,poons,8,,
pl100,15,gip,bip,5,bip,5,,
pl100,16,egg,mama,3,eh,5,,
pl101,p1,book,book,5,,very quiet,,
pl101,p2,chair,[]euh,5,,examples of morphophonological dev; clear knowledge of the plural,,
pl101,p3,coat,coat,5,,,,
pl101,p4,dog,dog,5,,,,
pl101,1,pog,pahg,5,"two pogs, two pogs",8,,
pl101,2,rabbit,rabbit,5,two rabbits,8,,
pl101,3,nug,nug,5,nugs,8,,
pl101,4,star,star,5,two stars on the couch(t),8,,
pl101,5,tep,tep,5,two teps,8,,
pl101,6,fip,f(w)ip,5,two fipp(uh)s,7,,
pl101,7,pig,p[h]ig,5,two pigs in it,8,,
pl101,8,truck,truck ,5,two trucks in it,8,,
pl101,9,gub,gub,5,gubs,8,,
pl101,10,fork,fork,5,forkes,7,,
pl101,11,cup,cup,5,cups in it,8,,
pl101,12,gop,gop,5,gopses,7,,
pl101,13,tig,tig,5,tigs,8,,
pl101,14,cow,cow,5,cowe(z)sh,8,,
pl101,15,nep,nep,5,neps,8,,
pl101,16,cat,cat,5,cats,8,,
pl103,p1,book,book,5,,,good example of marking plural numerically but not phonologically,
pl103,p2,chair,chai(r),5,,,,
pl103,p3,coat,tok,5,,,,
pl103,p4,dog,dogh,5,,,,
pl103,1,bug,buh,5,buh(g),5,,
pl103,2,mip,mip,5,a mip,5,,
pl103,3,deg,d(a)g,5,d(a)g,5,,
pl103,4,frog,fwog,5,two fwog,6,,
pl103,5,nop,nop,5,nop,5,,
pl103,6,boat,boat,5,two boat,6,,
pl103,7,kib,tib,5,ti(b\p)h,5,,
pl103,8,teb,deb,5,deb,5,,
pl103,9,plate,pate,5,two pate,6,,
pl103,10,ant,ant,5,two ant,6,,
pl103,11,pib,bib,5,bib,5,,
pl103,12,dup,dup,5,dup,5,,
pl103,13,duck,duck,5,two duck,6,,
pl103,14,spoon,poon,5,um poon,5,,
pl103,15,gip,dip,5,um dip,5,,
pl103,16,egg,egg,5,two egg,6,,
pl104,p1,book,book,5,,,,
pl104,p2,chair,chai(w),5,,,,
pl104,p3,coat,coat,5,,,,
pl104,p4,dog,d(ah)g,5,,,,
pl104,1,pog,pog,5,<long silence> pog,5,,
pl104,2,rabbit,wabbit,5,wabbit,5,,
pl104,3,nug,nug,5,nug,5,,
pl104,4,star,star,5,star,5,,
pl104,5,tep,tep,5,tep,5,,
pl104,6,fip,f(wi)ip,5,fip,5,,
pl104,7,pig,pig,5,a pig,5,,
pl104,8,truck,twuck,5,twuck,5,,
pl104,9,gub,gu_ub,5,gubes,7,,
pl104,10,fork,fork,5,forkes,7,,
pl104,11,cup,cup,5,a cup,5,,
pl104,12,gop,gop,5,a gop,5,,
pl104,13,tig,tig,5,a tig,5,,
pl104,14,cow,cow,5,a cow,5,,
pl104,15,nep,nep,5,a nep,5,,
pl104,16,cat,cat,5,a cat,5,,
pl107,p1,book,book,5,,,,
pl107,p2,chair,chair,5,,tells mom not to hold it,,
pl107,p3,coat,coat,5,,,,
pl107,p4,dog,dog,5,,,,
pl107,1,bug,bug.. a ladybug,5,a ladybug,5,,
pl107,2,mip,mip,5,mip,5,,
pl107,3,deg,deg,5,deg,5,,
pl107,4,frog,frog,5,frahg,5,,
pl107,5,nop,nop,5,nop,5,,
pl107,6,boat,boat,5,boat,5,,
pl107,7,kib,kib,5,kib,5,,
pl107,8,teb,teb,5,"teb, tab",5,,
pl107,9,plate,plate,5,plate,5,,
pl107,10,ant,ant,5,ants,8,,
pl107,11,pib,pib,5,a pib,5,,
pl107,12,dup,dup,5,dup,5,no no no don't touch it,
pl107,13,duck,duck,5,duck,5,,
pl107,14,spoon,spoon,5,a spoon,5,,
pl107,15,gip,gip,5,gip,5,,
pl107,16,egg,we can't carry egg because it's too big,5,eggs,8,,
